,Track ID,Total Time,Year,BPM,Date Added,Play Count,Skip Count,Rating,Name,Artist,Genre
166,1683,598517,1976,146,2016-03-11T18:43:28Z,63,11,,Achilles' Last Stand,Led Zeppelin,Rock
167,1685,255634,2011,85,2016-03-11T18:54:39Z,32,15,,Game of Thrones-Main Title,Ramin Djawadi,Soundtrack
168,1687,351373,1977,49,2016-03-11T18:58:31Z,20,9,20,Star Wars (Main Theme),John Williams,Soundtrack
169,1689,186148,1980,52,2016-03-11T19:01:45Z,30,8,20,The Imperial March (Darth Vader's Theme),John Williams,Soundtrack
170,1691,325955,1981,127,2016-03-11T19:05:15Z,31,8,20,The Raiders March,John Williams,Soundtrack
171,1693,224130,2015,86,2016-03-11T19:12:36Z,39,8,20,کجایی,محسن چاوشی,
172,1695,179957,2015,121,2016-03-11T19:16:04Z,32,8,20,همخواب,محسن چاوشی,
173,1697,436610,1975,75,2016-03-11T19:30:10Z,30,12,20,"No Woman, No Cry",Bob Marley & the Wailers,Reggae
174,1699,231288,2005,159,2016-03-22T12:00:54Z,48,11,,I'm Supposed To Die Tonight,50 Cent,Hip Hop/Rap
175,1701,330866,2005,86,2016-03-22T12:06:12Z,33,10,20,Lose Yourself,Eminem,Hip Hop/Rap
176,1703,261198,1999,130,2016-03-22T12:19:38Z,40,14,,Technical Difficulties,Racer X,Metal
177,1705,217286,2015,76,2016-03-30T17:25:37Z,49,11,20,I'm So Sorry,Imagine Dragons,Rock
178,1707,222955,1982,129,2016-03-30T17:40:50Z,23,7,,She Blinded Me With Science,Thomas Dolby,Pop
179,1709,162089,1957,65,2016-03-30T17:49:55Z,65,12,,School Days,Chuck Berry,Rock
180,1711,234553,1973,96,2016-03-30T18:15:21Z,57,12,20,I Shot The Sheriff,Bob Marley & the Wailers,Reggae
181,1713,221570,1973,75,2016-03-30T18:23:33Z,31,10,20,Stir It Up,Bob Marley & the Wailers,Reggae
182,1715,192182,1994,83,2016-05-04T14:59:34Z,39,5,,Sabotage,Beastie Boys,Hip Hop/Rap
183,1717,257541,1987,118,2016-05-04T15:06:49Z,42,9,,Smooth Criminal,Michael Jackson,Pop
184,1719,244401,1992,105,2016-05-04T15:09:39Z,31,10,20,Casualties Of War,Eric B. & Rakim,Hip Hop/Rap
